Name,RAdeg,DEdeg,Memb,Disk,Acc,K2var,umag,gmag,rmag,imag,Hamag,SpT,Avmag,Lbol,Mstar,Rstar,logAge,logMacc,DlogMacc+,DlogMacc-,Age_linear,Macc_linear,logMstar,c_value
VPHAS J180316.6-241934.1,270.81897,-24.32613,y,,1.0,,,19.724,18.186,17.057,17.224,F2.75,4.951,4.179,1.484,1.467,7.16,-7.443,0.173,0.173,14454397.70745928,3.6057864302164274e-08,0.17143390094300825,-4.694239297766554
VPHAS J180317.5-241801.5,270.82296,-24.30042,?,,1.0,,,19.507,17.945,17.234,17.295,K5,1.282,0.35,0.941,1.019,7.18,-9.288,0.341,,15135612.484362071,5.152286445817561e-10,-0.026410376572743116,-6.306157300347419
VPHAS J180322.2-242014.0,270.84265,-24.33722,?,,1.0,,,19.582,17.836,16.956,17.201,K5,2.138,0.793,1.055,1.532,6.61,-8.683,0.383,0.793,4073802.7780411304,2.0749135174549106e-09,0.023252459633711444,-5.9919386917116615
VPHAS J180331.0-240727.0,270.87916,-24.12418,?,n*,2.0,,19.635,18.436,17.013,16.299,16.445,K5.75,0.621,0.518,0.991,1.297,6.84,-8.998,0.421,0.525,6918309.709189363,1.0046157902783968e-09,-0.0039263455147246756,-6.181491557194356
VPHAS J180331.4-241836.4,270.88096,-24.31012,y,?,1.0,,,19.425,17.922,17.088,16.515,K8.25,0.436,0.257,0.786,1.068,6.99,-8.806,0.341,,9772372.209558113,1.563147642640957e-09,-0.10457745396059209,-5.813429004108003
VPHAS J180337.3-243216.7,270.90555,-24.53799,?,n*,1.0,,,18.999,17.676,16.991,17.037,K2.25,1.38,0.392,0.843,0.876,7.53,-9.017,0.354,0.537,33884415.61392027,9.616122783836659e-10,-0.07417242537525769,-5.836982168983486
VPHAS J180337.6-243217.7,270.90661,-24.53824,?,,1.0,,,19.434,18.058,17.396,17.221,K5,0.739,0.206,0.742,0.781,7.6,-9.105,0.261,0.321,39810717.05534969,7.852356346100711e-10,-0.12959609472097294,-5.833212225879328
VPHAS J180345.3-243233.5,270.93858,-24.54265,?,,1.0,,,19.035,17.664,16.943,17.114,K2.5,1.525,0.459,0.919,0.972,7.38,-9.411,0.344,,23988329.190194897,3.8815036599064864e-10,-0.03668448861388872,-6.335256706385207
VPHAS J180347.9-240856.7,270.94964,-24.14909,?,?,1.0,,,19.627,18.066,17.077,17.11,G6,3.447,1.314,1.129,1.249,7.24,-8.101,0.34,,17378008.28749376,7.925013304804703e-09,0.05269394192496786,-5.18439613463541
VPHAS J180349.9-241720.7,270.95806,-24.28908,y,y*,1.0,,,18.702,17.152,16.248,16.458,K1,2.65,1.684,1.426,1.656,6.8,-8.259,0.159,0.281,6309573.44480193,5.5080769640540295e-09,0.15411952551584673,-5.638563087208173
VPHAS J180400.1-243318.0,271.00046,-24.55498,?,,1.0,,,19.429,17.997,17.381,17.09,K5,0.742,0.214,0.759,0.795,7.57,-8.847,0.418,0.362,37153522.90971728,1.4223287871228214e-09,-0.11975822410451964,-5.598726979076644
VPHAS J180403.3-243309.6,271.01363,-24.55266,?,,1.0,,,19.425,17.788,16.976,16.993,K5,1.716,0.586,1.044,1.318,6.85,-8.733,0.259,0.543,7079457.843841373,1.8492686189780759e-09,0.01870049866624337,-5.938096887444486
VPHAS J180404.2-241743.1,271.01748,-24.29529,y,?,1.0,,19.999,19.261,17.818,16.704,16.826,A8,5.308,8.745,1.743,1.703,7.0,-6.4,0.125,0.121,10000000.0,3.981071705534969e-07,0.2412973871099932,-3.796421399508192
VPHAS J180404.3-242901.2,271.01773,-24.48366,?,n*,2.0,,,20.143,18.576,17.298,18.456,A3.75,6.572,14.221,1.965,1.789,6.88,-7.162,0.82,,7585775.7502918355,6.886522963442762e-08,0.2933625547114455,-4.666930133607934
VPHAS J180408.6-243156.8,271.03589,-24.53244,?,,1.0,,,19.615,18.017,17.239,17.258,K5,2.54,1.029,1.02,1.746,6.41,-8.334,0.338,0.321,2570395.7827688647,4.634469197362884e-09,0.00860017176191757,-5.708509220222921
VPHAS J180413.7-241725.3,271.05696,-24.29036,y,n*,1.0,,,19.002,17.319,16.437,16.71,K5,2.004,1.156,0.998,1.85,6.32,-8.472,0.21,0.294,2089296.1308540408,3.3728730865886923e-09,-0.0008694587126288914,-5.872747129504202
VPHAS J180419.9-242823.7,271.08278,-24.47326,y,y,1.0,,19.585,18.731,16.943,15.956,15.912,K8.5,1.638,1.775,0.526,2.852,5.55,-7.361,0.033,0.055,354813.3892335753,4.355118736855688e-08,-0.27901425584626094,-4.762182773286166
VPHAS J180420.3-242752.0,271.08461,-24.46448,y,n*,1.0,,,19.363,17.969,17.142,16.607,M0.5,0.0,0.251,0.5,1.224,6.55,-8.547,0.022,0.05,3548133.892335753,2.837919028441552e-09,-0.3010299956639812,-5.512042984110816
VPHAS J180437.5-242447.9,271.15622,-24.41332,y,?,1.0,,,20.274,18.535,17.291,17.749,F7,5.245,3.736,1.312,1.649,7.17,-7.65,0.32,0.528,14791083.881682072,2.2387211385683378e-08,0.11793383503964149,-4.836322693328945
VPHAS J180443.5-242057.6,271.18127,-24.34935,?,n*,1.0,,,20.154,18.558,17.81,17.824,K5,1.456,0.231,0.781,0.826,7.52,-9.299,0.208,0.495,33113112.148259077,5.023425895223877e-10,-0.10734896612269966,-6.0853865956473205
VPHAS J180454.0-243046.4,271.22515,-24.51288,y,,1.0,,,18.358,16.586,15.584,16.151,K4.75,2.611,3.721,0.934,3.263,5.6,-8.277,0.295,,398107.1705534969,5.284452517751813e-09,-0.029653123769906618,-5.941037932590493
VPHAS J180502.6-242443.7,271.26066,-24.41214,?,y,1.0,,,19.606,17.964,16.969,17.027,G9.5,3.226,1.213,1.177,1.299,7.14,-7.67,0.435,0.387,13803842.646028839,2.1379620895022325e-08,0.0707764628434347,-4.815059581896188
VPHAS J180518.5-241552.5,271.3273,-24.26458,?,,1.0,,,20.242,18.56,17.399,17.554,G2.25,4.641,2.284,1.289,1.53,7.11,-7.598,0.214,0.246,12882495.51693135,2.5234807724805754e-08,0.110252917353403,-4.800260026750119
VPHAS J180518.5-243116.3,271.32722,-24.52119,?,n*,2.0,,20.135,18.519,17.145,16.471,16.482,K4.5,0.951,0.547,1.041,1.23,6.98,-8.898,0.144,0.135,9549925.86021437,1.2647363474711523e-09,0.017450729510536125,-6.048231146076338
VPHAS J180521.8-243000.7,271.34066,-24.50017,?,,1.0,,,19.139,17.767,17.097,17.255,K5.5,0.511,0.231,0.8,0.853,7.45,-10.102,0.608,,28183829.31264455,7.906786279998245e-11,-0.09691001300805639,-6.929029221546834
WFI11471,271.09734,-24.4756,y,n,1.0,,,18.458,17.086,16.523,16.382,K5,0.469,0.393,0.947,1.079,7.15,-8.884,0.307,0.801,14125375.446227554,1.3061708881318404e-09,-0.0236500209967266,-5.917628113584454
WFI12412,271.11777,-24.46183,y,n,1.0,,,18.597,17.001,16.241,16.455,K5,1.487,0.996,1.025,1.718,6.43,-8.794,0.178,0.354,2691534.803926914,1.6069412530128755e-09,0.010723865391773066,-6.162700544680806
WFI12779,271.03824,-24.45565,y,n*,1.0,,,18.285,16.769,16.075,15.672,K8,0.802,0.997,0.623,2.073,5.95,-7.803,0.171,0.195,891250.9381337459,1.5739828644662197e-08,-0.2055119533408304,-5.12327458167219
WFI12983,271.04021,-24.4528,y,n*,1.0,,18.581,17.355,15.954,15.334,14.987,K7.25,0.526,1.545,0.649,2.465,5.76,-7.584,0.182,0.182,575439.9373371566,2.6061535499988977e-08,-0.18775530319963074,-5.002568265690196
WFI12995,271.13775,-24.45256,y,y*,2.0,,,19.682,17.958,17.053,17.418,M0.75,0.834,0.506,0.433,1.77,6.02,-9.49,0.647,,1047128.5480508985,3.2359365692962813e-10,-0.36351210364663455,-6.6019214805718
WFI13000,271.16436,-24.45252,y,y,1.0,,,18.544,16.79,15.856,16.097,K5,2.299,2.402,0.903,2.667,5.81,-7.652,0.259,0.243,645654.2290346549,2.228435149270303e-08,-0.04431224968649419,-5.213042378850063
WFI13073,271.03925,-24.45112,y,,1.0,,,18.386,16.955,16.296,16.046,K7.25,0.654,0.684,0.771,1.639,6.36,-8.251,0.206,0.275,2290867.6527677746,5.610479760324712e-09,-0.11294562194904302,-5.507922407497888
WFI13161,271.19067,-24.44963,y,y*,1.0,,,20.122,18.369,17.198,17.578,M1.75,1.246,0.624,0.348,2.12,5.79,-8.553,0.281,,616595.0018614822,2.798981319634357e-09,-0.4584207560534191,-5.651610283546648
WFI13430,271.12881,-24.44584,y,y,1.0,,18.726,17.54,16.236,15.617,15.667,K4.5,0.65,0.984,1.106,1.65,6.53,-8.71,0.139,0.11,3388441.5613920274,1.9498445997580416e-09,0.04375512696867949,-6.07513039643622
WFI13491,271.0127,-24.44415,?,?,1.0,,,18.553,17.097,16.385,15.841,K7.5,1.174,0.991,0.677,2.004,6.03,-7.569,0.179,0.156,1071519.305237607,2.6977394324449205e-08,-0.16941133131485567,-4.897415267422607
WFI13563,271.08521,-24.44302,y,n,2.0,,19.995,18.03,16.597,15.875,15.922,K5.5,0.784,0.853,0.98,1.639,6.47,-8.631,0.222,0.379,2951209.226666384,2.3388372386593535e-09,-0.00877392430750515,-5.961095645465192
WFI13601,271.19078,-24.4425,y,n*,1.0,,,19.181,17.57,16.696,16.881,K5.75,1.462,0.625,0.991,1.425,6.69,-8.809,0.188,0.206,4897788.193684466,1.5523870099580849e-09,-0.0039263455147246756,-6.054159231760688
WFI13658,271.01525,-24.44169,y,,1.0,P,,18.467,17.053,16.533,15.812,,,0.28,0.863,0.955,7.3,-8.549,0.072,0.095,19952623.149688788,2.8248799749157106e-09,-0.06398920428479041,-5.475112995874296
WFI13674,270.99385,-24.44146,y,,1.0,,,19.417,17.52,16.512,16.087,K5,2.812,1.861,0.927,2.347,5.98,-7.115,0.206,0.26,954992.5860214368,7.673614893618186e-08,-0.0329202658555029,-4.619099891190009
WFI13876,271.16977,-24.43806,y,y*,1.0,,,19.081,17.329,16.321,16.716,K6.5,1.769,1.078,0.788,1.963,6.13,-8.581,0.216,0.291,1348962.8825916534,2.6242185433844446e-09,-0.10347378251044466,-5.943244714553165
WFI13925,271.00271,-24.43708,y,n,1.0,P,,19.639,17.608,16.589,17.049,K5.75,3.564,3.563,0.784,3.41,5.49,-7.7,0.327,,309029.5432513592,1.9952623149688786e-08,-0.10568393731556154,-5.322848177639932
WFI13966,271.07745,-24.43644,y,n,1.0,,,19.933,18.335,17.184,17.344,F4.75,4.896,3.39,1.338,1.419,7.23,-7.438,0.27,0.299,16982436.52461746,3.64753946925608e-08,0.12645611343180432,-4.609341607257965
WFI14041,271.08089,-24.43534,y,,1.0,,,19.18,17.546,16.667,17.088,K5,1.887,0.858,1.048,1.594,6.55,-9.334,0.863,,3548133.892335753,4.6344691973628843e-10,0.020361282647707864,-6.664319798321291
WFI14185,271.02144,-24.43289,y,n,1.0,,19.143,17.587,16.443,15.811,15.756,G6.5,1.529,1.186,1.095,1.197,7.28,-8.358,0.408,0.19,19054607.17963248,4.385306977749852e-09,0.03941411917613713,-5.409858257183599
WFI14574,271.08158,-24.42681,y,,1.0,P,,,19.01,17.762,17.909,M1.25,1.936,0.558,0.39,1.936,5.9,-8.231,0.348,,794328.2347242822,5.8748935252977685e-09,-0.4089353929735008,-5.340629843372927
WFI14629,271.16559,-24.42604,y,y*,1.0,,,18.699,17.074,16.233,16.613,K7.5,1.601,1.405,0.636,2.386,5.79,-8.969,0.452,,616595.0018614822,1.0739894123412462e-09,-0.19654288435158612,-6.365247217535549
WFI14708,271.0907,-24.42484,y,n*,1.0,QPS,,18.394,16.948,16.206,16.412,K6,0.626,0.565,0.97,1.376,6.73,-9.193,0.394,,5370317.963702532,6.412095765851622e-10,-0.01322826573375516,-6.411142433944138
WFI14731,271.14863,-24.42444,y,y*,1.0,QPD,,19.333,17.497,16.605,16.95,M1.75,0.844,0.924,0.333,2.585,5.36,-8.364,0.348,0.961,229086.76527677747,4.325138310350079e-09,-0.4775557664936801,-5.61764308090549
WFI15075,271.05002,-24.41986,y,,1.0,,,19.017,17.412,16.585,16.803,K6,2.23,1.516,0.808,2.255,5.97,-8.103,0.339,0.328,933254.3007969905,7.888601176185549e-09,-0.09258863922541381,-5.543395062015396
WFI15298,271.00238,-24.41733,y,n*,1.0,P,,19.265,17.956,17.333,16.134,K6,0.007,0.132,0.655,0.667,7.78,-8.545,0.098,0.076,60255958.60743581,2.8510182675039096e-09,-0.18375870000821692,-5.137652582043346
WFI15451,271.10985,-24.41564,y,y,1.0,,,18.766,17.149,16.345,16.698,M1,0.622,0.963,0.388,2.49,5.65,-9.195,0.765,,446683.5921509635,6.382634861905483e-10,-0.41116827440579273,-6.404871522670449
